Time, Temp[C], EleCond [?], Battery[V], Current[mA]
2018-09-18_20:29, 23.0, 0.0, 0.0, 0.0, 
2018-09-23_15:25, 21.6875, 0.0, 0.0, 0.0, 
2018-09-23_15:27, 21.5, 0.0, 0.0, 0.0, 
2018-09-23_15:30, 21.75, 0.0, 0.0, 0.0, 
2018-09-23_15:42, (21.875, bytearray(b'\x15\xe0')), 0.0, 0.0, 0.0, 
2018-09-23_15:43, (21.875, bytearray(b'\x15\xe0')), 0.0, 0.0, 0.0, 
2018-09-23_15:44, (21.9375, bytearray(b'\x15\xf0')), 0.0, 0.0, 0.0, 
2018-09-23_15:46, (21.8125, bytearray(b'\x15\xd0')), 0.0, 0.0, 0.0, 
2018-09-23_15:46, (21.9375, bytearray(b'\x15\xf0')), 0, 0, 0, 
2018-09-23_15:47, (22.125, bytearray(b'\x16 ')), 0, 0, 0, 
2018-09-23_15:48, (22.4375, bytearray(b'\x16p')), 0, 0, 0, 
2018-09-23_15:48, (22.1875, bytearray(b'\x160')), 0, 0, 0, 
2018-09-23_15:52, (22.375, bytearray(b'\x16`')), 0, 0, 0, 
2018-09-23_15:52, (22.3125, bytearray(b'\x16P')), 0, 0, 0, 
2018-09-23_16:02, (22.375, bytearray(b'\x16`')), 0, 0, 0, 
2018-09-23_16:05, (22.3125, bytearray(b'\x16P')), 0, 0, 0, 
2018-09-23_16:05, (22.3125, bytearray(b'\x16P')), 0, 0, 0, 
2018-09-23_16:05, (22.25, bytearray(b'\x16@')), 0, 0, 0, 
2018-09-23_16:06, (22.3125, bytearray(b'\x16P')), 0, 0, 0, 
2018-09-23_16:19, (22.6875, bytearray(b'\x16\xb0')), 0, 0, 0, 
2018-09-23_16:19, (22.625, bytearray(b'\x16\xa0')), 0, 0, 0, 
2018-09-23_16:31, (22.75, bytearray(b'\x16\xc0')), 0, 0, 0, 
2018-09-23_16:32, (23.125, bytearray(b'\x17 ')), 0, 0, 0, 
2018-09-23_16:33, None, None, None, None, 
2018-09-23_16:37, None, None, None, None, 
